Month,Handle,Revenue,Hold,Taxes
6/1/2018,309695659,24630915,0.08,1895011
7/1/2018,294006820,8433994,0.03,926804
8/1/2018,359275692,23625881,0.07,2524419
9/1/2018,817681310,95358434,0.12,12245073
10/1/2018,854014077,45832391,0.05,5217752
11/1/2018,996071884,54349323,0.06,6272898
12/1/2018,990933059,82266923,0.08,11262831
1/1/2019,1002092655,43052327,0.04,6529559
2/1/2019,881756490,51972715,0.06,4515655
3/1/2019,1095599580,79856363,0.07,10746670
4/1/2019,731628959,52524099,0.07,7496899
5/1/2019,724074602,32939800,0.05,4843870
6/1/2019,685786299,34150011,0.05,4727521
7/1/2019,581017296,37075760,0.06,5068934
8/1/2019,750692735,62738953,0.08,8243580
9/1/2019,1381692847,143317497,0.10,21232130
10/1/2019,1559104891,155108642,0.10,22455266
11/1/2019,1877044887,113770997,0.06,18117771
12/1/2019,1870346374,114143414,0.06,17343390
1/1/2020,1800052757,139845880,0.08,24038427
2/1/2020,1731395665,84328330,0.05,10255014
3/1/2020,612379377,35297033,0.06,6970933
4/1/2020,167875839,9762318,0.06,2025900
5/1/2020,315226816,25350115,0.08,4337755
6/1/2020,447471765,29732415,0.07,5621836
7/1/2020,906977542,72384321,0.08,10711534
8/1/2020,2191669452,129761682,0.06,19172265
9/1/2020,2875270552,156615169,0.05,20297227
10/1/2020,3276726385,291317909,0.09,46294360
11/1/2020,3484288518,309007013,0.09,52707862
12/1/2020,3797269693,277472250,0.07,44608025
1/1/2021,4370440098,378653248,0.09,54733343
2/1/2021,4013657606,225993459,0.06,30326038
3/1/2021,4629130324,357366025,0.08,46072934
4/1/2021,3703934150,283202902,0.08,40986651
5/1/2021,3714799742,273387615,0.07,40128243
6/1/2021,3676060695,335906085,0.09,49792686
7/1/2021,2799391495,268126230,0.10,37810988
8/1/2021,3071879791,224622673,0.07,29293371
9/1/2021,5491749708,450808836,0.08,51990345
10/1/2021,7546972781,448627693,0.06,55031304
11/1/2021,7405646041,725367326,0.10,99002593
12/1/2021,7339244974,381002482,0.05,38936353
1/1/2022,9749393395,637441784,0.07,130501485
2/1/2022,7939395270,391967457,0.05,70522520
3/1/2022,9262257730,623923142,0.07,119075504
4/1/2022,7476187515,527088608,0.07,111570936
5/1/2022,6686988033,610261607,0.09,122646968
6/1/2022,5480948489,334079739,0.06,71013754
7/1/2022,4533090868,407128610,0.09,84837874
8/1/2022,4909529483,526908745,0.11,109743862
9/1/2022,7919599327,934400945,0.12,175269630
10/1/2022,9684589668,843130409,0.09,170315228
11/1/2022,10020250696,800107859,0.08,173637791
12/1/2022,10053933645,954897119,0.10,174548920
1/1/2023,11472691111,1061426937,0.09,189743795
2/1/2023,9009612531,707276780,0.08,134393673
3/1/2023,11262697287,1079620124,0.10,205034587
4/1/2023,9162332942,861978310,0.09,172752931
5/1/2023,8140809202,919711311,0.11,184862571
6/1/2023,6610619363,547710209,0.08,114229777
7/1/2023,5900641332,618948317,0.11,129013719
8/1/2023,6677587228,620631645,0.09,121967232
9/1/2023,11596336338,1117054945,0.10,209185639
10/1/2023,12802336483,1227196058,0.10,236083223
11/1/2023,14474065653,935881918,0.07,180100122
12/1/2023,13965188901,1355315338,0.10,267091034
1/1/2024,13875554966,1503994173,0.11,298296147
2/1/2024,11315712953,897972271,0.08,175756967
3/1/2024,13926038264,1091575249,0.08,212064884
4/1/2024,12075789487,1181875975,0.10,239872233
5/1/2024,11051283117,1159364029,0.11,247842140
6/1/2024,9102967947,858881106,0.09,178765768
7/1/2024,6590949826,745095052,0.11,166342550
